City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
289,Cayenne,GF,78.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
290,Sambava,MG,75.25,scattered clouds,-14.2667,50.1667,Melrose
294,Hwange,ZW,75.07,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
296,Miyako,JP,75.09,few clouds,39.6367,141.9525,Hotel Route Inn Miyako
298,Southbridge,US,79.09,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
299,Balkhash,KZ,84.81,clear sky,46.844,74.9804,Family
307,Kimbe,PG,82.44,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
309,Porterville,US,76.42,clear sky,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
310,Davidson,US,81.19,haze,36.1501,-86.7833,Best Western Plus Music Row
311,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
312,Lorengau,PG,83.32,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
313,Faanui,PF,76.5,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
314,Axim,GH,76.64,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
321,Kindu,CD,85.23,overcast clouds,-2.95,25.95,Résidence Okanda
324,Atar,MR,88.61,clear sky,20.5169,-13.0499,Oumou Elghoura
330,Garowe,SO,86.76,scattered clouds,8.4054,48.4845,Curubo Hotel
336,Mount Pleasant,US,82.0,clear sky,32.7941,-79.8626,Best Western Patriots Point
339,Dubti,ET,87.21,overcast clouds,11.7361,41.0853,degu Shiferaw
340,Ilam,NP,75.54,overcast clouds,26.9167,87.9167,चियाबारी कटेज
344,Puerto Del Rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
345,Portland,US,75.13,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
346,Ponta Do Sol,PT,84.83,few clouds,32.6667,-17.1,Hotel do Campo
349,Lazaro Cardenas,MX,76.14,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
356,Le Pradet,FR,88.68,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
361,Pulandian,CN,85.75,broken clouds,39.3953,121.9669,HR East Hotel
364,Oktyabrskiy,RU,81.0,broken clouds,54.4815,53.471,Гостиница Октябрьская
365,Matara,LK,85.68,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
371,Miri,MY,80.74,light rain,4.4148,114.0089,"Mega Hotel, Miri"
374,Muros,ES,76.15,few clouds,42.7762,-9.0603,Apartment Av. Castelao
376,Shimoda,JP,83.1,moderate rain,34.6667,138.95,Shimoda Tokyu Hotel
377,Gevrai,IN,83.95,overcast clouds,19.2667,75.75,Hotel Aadarniy and Biryani House
379,Parrita,CR,75.27,broken clouds,9.5201,-84.3225,Beso del Viento
380,Xicotencatl,MX,79.48,overcast clouds,23.0167,-98.8833,Misioneros Vázquez Mireles
381,Sibu,MY,79.11,thunderstorm,2.3,111.8167,RH HOTEL (4 Star)
388,Kavaratti,IN,82.22,moderate rain,10.5669,72.642,Green leaf
389,Mayo,US,83.98,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
391,Kirakira,SB,80.11,few clouds,-10.4544,161.9205,SanBiz Lodge
392,Trairi,BR,76.08,overcast clouds,-3.2778,-39.2689,janelas do mar
393,Lipetsk,RU,78.84,light rain,52.6031,39.5708,Mercure Lipetsk Center
396,Sapele,NG,76.24,moderate rain,5.8941,5.6767,Movig Hotel & Suites
399,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
400,Matoury,GF,78.03,overcast clouds,4.8483,-52.3317,Hôtel La Marmotte
403,Kanigoro,ID,80.11,broken clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
405,Mitsamiouli,KM,80.89,few clouds,-11.3847,43.2844,Foyer ADM
413,Waddan,LY,86.76,clear sky,29.1614,16.139,محل الشريف محمد العايب
417,Jagannathpur,IN,85.33,overcast clouds,22.2333,85.65,Hotel sidhiviynak
419,Saint Augustine,US,78.03,clear sky,29.8947,-81.3145,St. George Inn
424,Aksha,RU,80.28,few clouds,50.2814,113.2867,Vizit
425,Puerto Escondido,MX,76.89,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
429,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
431,Isla Mujeres,MX,82.17,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
432,Vanimo,PG,81.46,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
433,Chingirlau,KZ,80.1,light rain,51.095,54.0814,Хостыл Аққу
434,Taganak,PH,89.74,overcast clouds,6.0833,118.3,Taganak
436,Magdagachi,RU,87.55,few clouds,53.45,125.8,Motopolyana Magdagachi
437,Pokhara,NP,82.31,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
440,Katsuura,JP,86.02,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
441,Kawalu,ID,79.45,overcast clouds,-7.3817,108.2082,West Jontor
442,Springdale,US,84.33,clear sky,36.1867,-94.1288,Springdale Inn
444,Mocuba,MZ,75.9,clear sky,-16.8392,36.9856,Phama Lodge
445,Saint-Joseph,RE,75.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
448,Vaitape,PF,76.46,moderate rain,-16.5167,-151.75,Conrad Bora Bora Nui
449,Bakel,SN,77.9,light rain,14.905,-12.4568,Ablaye Diallo Bakel
450,Yaguajay,CU,77.38,broken clouds,22.3272,-79.2378,Hostal La Terraza
451,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
452,Derzhavinsk,KZ,87.84,scattered clouds,51.1,66.3167,Ooo.khim Baza
455,Pasighat,IN,87.33,broken clouds,28.0667,95.3333,Siang Guest House
458,Laguna,US,76.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
459,Le Port,RE,77.0,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
460,Dingzhou,CN,87.91,overcast clouds,38.5131,114.9956,宜家时尚宾馆
461,Elblag,PL,78.94,broken clouds,54.1522,19.4088,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
464,Meadow Lake,US,77.4,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
467,Maumere,ID,78.67,scattered clouds,-8.6199,122.2111,Sylvia Hotel
468,Maizuru,JP,87.84,broken clouds,35.45,135.3333,Maizuru Grand Hotel
472,Tecoanapa,MX,75.2,overcast clouds,16.5167,-98.75,Hotel Manglares
474,Bambanglipuro,ID,79.72,overcast clouds,-7.95,110.2833,Puri Brata
476,Magan,ES,87.53,few clouds,39.9683,-3.931,Hotel Pattaya
479,Isiro,CD,75.58,overcast clouds,2.7739,27.616,Guest House Hewa Bora
481,Ko Samui,TH,89.51,few clouds,9.5357,99.9357,The Passage
482,Kuala Terengganu,MY,89.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
483,Buala,SB,81.21,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
485,Dingle,PH,82.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
