City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Craigieburn,AU,-37.6,144.95,54.5,88,75,23.02,broken clouds
179,Kirkuk,IQ,35.4681,44.3922,100.33,8,0,6.73,clear sky
180,Balikpapan,ID,-1.2675,116.8289,77.99,94,75,4.61,moderate rain
181,Mendi,PG,-6.1761,143.6513,59.18,98,100,1.54,overcast clouds
182,Caraballeda,VE,10.6112,-66.8522,73.47,78,75,0.0,broken clouds
183,Lukulu,ZM,-14.3707,23.242,76.21,26,0,10.29,clear sky
184,Khandyga,RU,62.6667,135.6,73.63,57,89,8.66,overcast clouds
185,Kargasok,RU,59.0556,80.8572,56.37,90,100,6.6,overcast clouds
186,Souillac,MU,-20.5167,57.5167,73.78,68,40,11.5,scattered clouds
187,Kangaatsiaq,GL,68.3065,-53.4641,40.05,93,100,4.03,overcast clouds
188,Tarnos,FR,43.5417,-1.4628,74.59,73,75,11.5,broken clouds
189,Ewa Beach,US,21.3156,-158.0072,78.75,64,0,15.01,clear sky
190,Shirvan,AZ,39.9509,48.8994,82.65,40,40,9.53,scattered clouds
191,Bethel,US,41.3712,-73.414,79.75,90,100,6.04,overcast clouds
192,Burnie,AU,-41.0667,145.9167,55.92,83,100,10.27,overcast clouds
193,Dafeng,CN,23.4517,108.5881,97.43,42,0,5.88,clear sky
194,Rivera,UY,-30.9053,-55.5508,64.0,96,94,5.21,overcast clouds
195,Great Bend,US,38.3645,-98.7648,74.03,65,0,16.11,clear sky
196,Yumen,CN,40.2833,97.2,94.82,13,79,10.96,broken clouds
197,Kommunisticheskiy,RU,61.6789,64.4819,72.93,36,45,4.97,scattered clouds
198,Nedumangad,IN,8.6,77.0,81.68,83,40,11.5,scattered clouds
199,Kodiak,US,57.79,-152.4072,56.71,82,75,11.5,broken clouds
200,Jining,CN,35.405,116.5814,89.28,56,0,9.75,clear sky
201,Nome,US,64.5011,-165.4064,55.47,68,100,5.75,overcast clouds
202,Lilongwe,MW,-13.9669,33.7873,68.2,59,75,13.8,broken clouds
203,Hirara,JP,24.8,125.2833,91.26,70,40,9.22,scattered clouds
204,Vila,PT,42.0304,-8.1588,59.88,56,23,4.76,few clouds
205,Cabra,ES,37.4725,-4.4421,90.52,14,98,2.68,overcast clouds
206,Namatanai,PG,-3.6667,152.4333,81.19,81,22,11.5,few clouds
207,Orebro,SE,59.2741,15.2066,66.92,51,100,9.22,light intensity drizzle
208,Key Largo,US,25.0865,-80.4473,83.98,67,83,18.14,broken clouds
209,Winnemucca,US,40.973,-117.7357,78.85,11,0,18.41,clear sky
210,Buraydah,SA,26.326,43.975,100.85,11,1,12.15,clear sky
